English,Portuguese
able,capaz
about,sobre
after,depois
all,todos
an,um
and,e
as,como
ask,perguntar
at,no
bad,ruim
be,ser
big,grande
but,mas
by,por
call,chamar
case,caso
child,criança
come,vir
company,empresa
day,dia
different,diferente
do,fazer
early,cedo
eye,olho
fact,facto
feel,sentir
few,alguns
find,encontrar
first,primeiro
for,para
from,de
get,pegar
give,dar
go,ir
good,bom
government,governo
great,ótimo
group,grupo
hand,mão
have,ter
he,ele
her,dela
high,alto
his,dele
I,EU
important,importante
in,em
into,em
it,isto
know,saber
large,grande
last,durar
leave,deixar
life,vida
little,pequeno
long,longo
look,olhar
make,fazer
man,homem
my,meu
new,novo
next,próximo
not,não
number,número
of,de
old,velho
on,sobre
one,um
or,ou
other,outro
over,sobre
own,ter
part,papel
person,pessoa
place,lugar
point,apontar
problem,problema
public,público
right,certo
same,mesmo
say,dizer
see,ver
seem,parecer
she,ela
small,pequeno
take,pegar
tell,dizer
that,que
the,o
their,deles
there,lá
they,eles
thing,coisa
think,pensar
this,esse
time,tempo
to,para
try,tentar
up,acima
use,usar
want,querer
way,caminho
week,semana
will,vai
with,com
woman,mulher
work,trabalhar
work,trabalhar
world,mundo
would,seria
year,ano
you,você
young,jovem